Category,Permission,Desc,,运营,分公司运营,产品,销支,销管,销售,团队长,人事,财务,管理层,admin
,menu:running:ta,TA报表,,*,,,,,,,,,,
,view:performance:this-month,,,*,,,,,,,,,,
,menu:running:warning,业绩预警,,,,,,*,,,,,,
,view:manager:list:warning,,,,,,,*,,,,,,
我的业务,menu:my,我的业务,,,,,,,*,,,,,
,menu:my:performance,我的业绩,,,,,,,*,,,,,
,view:my:performance,,,,,,,,*,,,,,
,menu:my:order,我的订单,,,,,,,*,,,,,
,view:my:order,,,,,,,,*,,,,,
,menu:my:custom,我的客户,,,,,,,*,,,,,
,view:my:custom,,,,,,,,*,,,,,
我的团队,menu: team,我的团队,,,,,,,,*,,,,
,view:my:team,,,,,,,,,*,,,,
财务,menu:finance,财务,,*,,*,,*,,,*,*,*,
,menu:finance:commission:check,佣金核对,,,,,,*,,,,,,
,view:commission:check,,,,,,,*,,,,,,
,menu:finance:commission:view,佣金,,,,,,*,,,*,,*,
,view:commission:view,,,,,,,*,,,*,,*,
,menu:finance:revenue:check,收入核对,,*,,*,,,,,,,,
,view:revenue:check,,,*,,*,,,,,,,,
,revenue:check:operation,运营审核,,*,,,,,,,,,,
,revenue:check:product,产品部审核,,,,*,,,,,,,,
,menu:finance:revenue:view,收入,,*,,*,,,,,,*,*,
,view:revenue:view,,,*,,*,,,,,,*,*,
管理,menu:manage,管理,,*,,*,*,,,,,,,
,menu:manage:product,产品管理,,*,,*,*,,,,,,,
,view:product:list:all,,,*,,*,*,,,,,,,
,menu:manage:custom,客户管理,,*,,,,,,,,,,
,view:custom,,,*,,,,,,,,,,
,menu:manage:order,订单管理,,*,,,,,,,,,,
,view:order:list:all,,,*,,,,,,,,,,
product,product:create,产品创建,,*,,*,,,,,,,,
,product:edit:base,基本信息,,*,,*,,,,,,,,
,product:edit:redemption,申赎要素,,*,,*,,,,,,,,
,product:edit:target,投资标的,,*,,*,*,,,,,,,
,product:edit:rate,费用费率,,*,,*,*,,,,,,,
,product:edit:marketing,营销信息&折标佣金,,*,,*,*,*,,,,,,
,product:edit:shelve,产品上架或下架的权限,,*,,*,*,,,,,,,
,product:edit:file,展示上传产品附件的 tab,,*,,*,*,,,,,,,
customer, custom:create,客户创建,,*,*,,,,*,,,,,
,custom:edit:change-adviser,改变客户归属 ,,*,*,,,,,,,,,
,order:check:contract,改变”合同已收回“的状态,,*,,,,,,,,,,
,index:performance,index:performance,,,,,,,,,,,*,
